"race_state","year","state","fraction_outside_ci","n_races"
"2014_House-G_UT",2014,"UT",0,1
"2014_House-G_VA",2014,"VA",0,1
"2014_House-G_WA",2014,"WA",0,1
"2014_House-G_WI",2014,"WI",0,1
"2014_House-G_WV",2014,"WV",0,1
"2014_Sen-GS_HI",2014,"HI",0,1
"2014_Sen-G_AK",2014,"AK",0,1
"2014_Sen-G_CO",2014,"CO",0,1
"2014_Sen-G_IL",2014,"IL",0,1
"2014_Sen-G_ME",2014,"ME",0,1
"2014_Sen-G_MI",2014,"MI",0,1
"2014_Sen-G_MN",2014,"MN",0,1
"2014_Sen-G_NH",2014,"NH",0,1
"2014_Sen-G_NJ",2014,"NJ",0,1
"2014_Sen-G_NM",2014,"NM",0,1
"2014_Sen-G_OR",2014,"OR",0,1
"2016_Pres_CO",2016,"CO",0,1
"2016_Pres_CT",2016,"CT",0,1
"2016_Pres_DE",2016,"DE",0,1
"2016_Pres_GA",2016,"GA",0,1
"2016_Pres_MD",2016,"MD",0,1
"2016_Pres_MS",2016,"MS",0,1
"2016_Pres_NM",2016,"NM",0,1
"2016_Pres_OR",2016,"OR",0,1
"2016_Pres_RI",2016,"RI",0,1
"2016_Pres_TX",2016,"TX",0,1
