"race_state","year","state","mean_spread","sd_spread","mean_spread_act","n_polls","ci_lower","ci_upper","outside_ci"
"2010_Sen-G_LA",2010,"LA",10.6666666666667,7.09459888459759,18.88,3,2.63837225806959,18.6949610752637,1
"2010_Sen-G_MD",2010,"MD",-24.75,9.322910847298,-26.44,4,-33.886452630352,-15.613547369648,0
"2010_Sen-G_MO",2010,"MO",9.3,3.00499584026334,13.6,7,7.07386792844629,11.5261320715537,1
"2010_Sen-G_NC",2010,"NC",11.8,2.86356421265527,11.76,5,9.28997529892632,14.3100247010737,0
"2010_Sen-G_NH",2010,"NH",16.8,3.89871773792359,23.22,5,13.3826232282641,20.2173767717359,1
"2010_Sen-G_NV",2010,"NV",3.5,2.7942248133771,-5.74,14,2.03629553214087,4.96370446785913,1
"2010_Sen-G_NY",2010,"NY",-29.9090909090909,5.4855181241984,-34.11,11,-33.1508249619431,-26.6673568562387,1
"2010_Sen-G_OH",2010,"OH",17.2,3.48875745379764,17.45,15,15.4344451297113,18.9655548702887,0
"2010_Sen-G_OR",2010,"OR",-17.8333333333333,5.19294393062997,-17.97,6,-21.9885538783559,-13.6781127883107,0
"2010_Sen-G_PA",2010,"PA",4.36363636363636,3.06354066160079,2.02,22,3.08346419890622,5.64380852836651,1
"2010_Sen-G_UT",2010,"UT",21.6666666666667,5.5075705472861,28.79,3,15.434263884076,27.8990694492574,1
"2010_Sen-G_WA",2010,"WA",-0.846153846153846,2.37508434398142,-4.72,13,-2.13726440277865,0.444956710470957,1
"2010_Sen-G_WI",2010,"WI",6.7,3.56058671819376,4.84,10,4.49312548813687,8.90687451186313,0
"2010_Sen-G_WV",2010,"WV",-0.533333333333333,5.01236566142271,-10.07,15,-3.06994034095417,2.0032736742875,1
"2012_House-G_CA",2012,"CA",-0.4,5.94138031100518,-3.264,5,-5.60784946018988,4.80784946018988,0
"2012_House-G_FL",2012,"FL",-0.666666666666667,6.15358973824764,-3.47333333333333,6,-5.59056394874358,4.25723061541025,0
"2012_House-G_HI",2012,"HI",-26.6666666666667,27.1354626519124,-25.4466666666667,3,-57.3733333333333,4.04,0
"2012_House-G_IL",2012,"IL",-6.59230769230769,10.1413724858836,-10.3692307692308,13,-12.1052205740622,-1.0793948105532,0
"2012_House-G_ME",2012,"ME",-17.5,9.9498743710662,-22.98,4,-27.2508768836449,-7.74912311635513,0
"2012_House-G_MI",2012,"MI",7,7.54983443527075,7.76666666666666,3,-1.54344192933972,15.5434419293397,0
"2012_House-G_MN",2012,"MN",1.83333333333333,7.05454935957405,-4.365,6,-3.8114817901032,7.47814845676986,1
"2012_House-G_MT",2012,"MT",7,2.94392028877595,10.53,4,4.11495811699957,9.88504188300043,1
"2012_House-G_ND",2012,"ND",12,2,13.19,3,9.73678694477667,14.2632130552233,0
"2012_House-G_NE",2012,"NE",28.3333333333333,21.0792156716832,28.84,3,4.47995528232252,52.1867113843442,0
"2012_House-G_NH",2012,"NH",-0.714285714285714,4.99046710286341,-4.22428571428572,7,-4.41127548074888,2.98270405217745,0
"2012_House-G_NM",2012,"NM",-5,19.9749843554382,-8.78,3,-27.6038226855548,17.6038226855548,0
"2012_House-G_NY",2012,"NY",0.75,8.2586043284895,-2.66416666666667,12,-3.92274528354034,5.42274528354034,0
"2012_House-G_RI",2012,"RI",-4,11.7898261225516,-14.9533333333333,3,-17.3414441996859,9.34144419968593,0
"2012_House-G_UT",2012,"UT",24.8571428571429,20.9238983893902,22.3528571428571,7,9.3565020101757,40.35778370411,0
"2012_Pres_AR",2012,"AR",24,3,23.7,3,20.605180417165,27.394819582835,0
"2012_Pres_AZ",2012,"AZ",5.94736842105263,4.41554934559584,9.1,19,3.961895293672,7.93284154843326,1
"2012_Pres_CA",2012,"CA",-14,1.22474487139159,-23.1,5,-15.0735362127101,-12.9264637872899,1
"2012_Pres_CO",2012,"CO",-1.65957446808511,3.38331324453387,-5.4,47,-2.62684810507645,-0.692300831093758,1
"2012_Pres_CT",2012,"CT",-11.7058823529412,4.0274791415095,-17.3,17,-13.6204244079185,-9.79134029796385,1
"2012_Pres_FL",2012,"FL",-0.380952380952381,3.51898384122655,-0.899999999999999,84,-1.13349950596725,0.371594744062484,0
"2012_Pres_IA",2012,"IA",-2.36666666666667,3.50844629462941,-5.8,30,-3.62214804921111,-1.11118528412222,1
"2012_Pres_IL",2012,"IL",-16,3,-16.9,3,-19.394819582835,-12.605180417165,0
"2012_Pres_MA",2012,"MA",-17.6666666666667,2.51661147842358,-23.2,3,-20.5144806431132,-14.8188526902201,1
"2012_Pres_MD",2012,"MD",-20.6666666666667,2.88675134594813,-26.1,3,-23.9333333333333,-17.4,1
"2012_Pres_ME",2012,"ME",-10.3333333333333,3.05505046330389,-15.3,3,-13.7904483797911,-6.8762182868756,1
"2012_Pres_MI",2012,"MI",-5.47826086956522,4.84763003004691,-9.5,46,-6.87915921608208,-4.07736252304835,1
"2012_Pres_MN",2012,"MN",-8.05263157894737,3.95071982485508,-7.7,19,-9.82909186330213,-6.2761712945926,0
"2012_Pres_MO",2012,"MO",6.61538461538461,4.26217712515023,9.4,26,4.97705647346929,8.25371275729994,1
"2012_Pres_MT",2012,"MT",9,1.73205080756888,13.7,3,7.04,10.96,1
"2012_Pres_NC",2012,"NC",1.42307692307692,3.71718929155631,2,52,0.412733364654945,2.4334204814989,0
"2012_Pres_ND",2012,"ND",17.6666666666667,6.35085296108588,19.6,3,10.48,24.8533333333333,0
"2012_Pres_NE",2012,"NE",14,1.67332005306815,21.8,6,12.6610650999146,15.3389349000854,1
"2012_Pres_NH",2012,"NH",-3.21621621621622,4.26311789353452,-5.6,37,-4.58988665455864,-1.84254577787379,1
"2012_Pres_NJ",2012,"NJ",-12.1363636363636,3.74541566827215,-17.7,22,-13.7014732312729,-10.5712540414543,1
"2012_Pres_NM",2012,"NM",-11.5,3.8977310954333,-10.2,14,-13.5417564082841,-9.45824359171589,0
"2012_Pres_NV",2012,"NV",-3.875,2.68508424809257,-6.7,32,-4.80533422714288,-2.94466577285712,1
"2012_Pres_NY",2012,"NY",-26.3333333333333,2.51661147842358,-28.1,3,-29.1811473097799,-23.4855193568868,0
"2012_Pres_OH",2012,"OH",-3.01149425287356,3.2331648145416,-3,87,-3.69089229174741,-2.33209621399972,0
"2012_Pres_OK",2012,"OK",30,4.58257569495584,33.6,3,24.8143274303134,35.1856725696866,0
"2012_Pres_OR",2012,"OR",-6,1,-12,3,-7.13160652761167,-4.86839347238833,1
"2012_Pres_PA",2012,"PA",-5.97916666666667,3.19234178923416,-5.4,48,-6.88228536843289,-5.07604796490044,0
"2012_Pres_RI",2012,"RI",-22,3.91578004149024,-27.5,4,-25.8374644406604,-18.1625355593396,1
"2012_Pres_SC",2012,"SC",6.8,6.49615270756469,10.5,5,1.10587109383709,12.4941289061629,0
"2012_Pres_TN",2012,"TN",9.6,8.76356092008266,20.4,5,1.91840016663195,17.281599833368,1
"2012_Pres_TX",2012,"TX",16.6666666666667,2.08166599946613,15.8,3,14.3110398333635,19.0222934999698,0
